,dewpoint,height,pressure,relative humidity,temperature
0,7.5,51.0,1016.0,99.3,7.6
1,8.7,141.5,1005.0,81.3,11.8
2,8.3,183.0,1000.0,75.1,12.6
3,7.4,276.2,989.0,67.0,13.4
4,999.0,304.0,9999.0,999.0,999.0
5,999.0,609.0,9999.0,999.0,999.0
6,0.2,651.0,946.0,40.9,13.2
7,1.6,839.8,925.0,50.3,11.6
8,999.0,914.0,9999.0,999.0,999.0
9,999.0,1219.0,9999.0,999.0,999.0
10,-0.8,1539.0,850.0,56.8,7.2
11,999.0,1828.0,9999.0,999.0,999.0
12,999.0,2133.0,9999.0,999.0,999.0
13,999.0,2438.0,9999.0,999.0,999.0
14,999.0,2743.0,9999.0,999.0,999.0
15,-6.9,2786.7,729.0,63.8,-0.9
16,999.0,3047.0,9999.0,999.0,999.0
17,-8.9,3108.0,700.0,63.3,-2.9
18,999.0,3657.0,9999.0,999.0,999.0
19,-15.7,3668.5,652.0,45.2,-5.7
20,999.0,4267.0,9999.0,999.0,999.0
21,-18.9,4379.3,595.0,51.7,-10.9
22,-26.7,4509.7,585.0,25.6,-10.7
23,999.0,4876.0,9999.0,999.0,999.0
24,-31.7,5690.0,500.0,33.6,-19.7
25,999.0,5791.0,9999.0,999.0,999.0
26,999.0,6095.0,9999.0,999.0,999.0
27,-36.1,6334.7,458.0,35.2,-25.1
28,999.0,6705.0,9999.0,999.0,999.0
29,-44.3,6908.6,423.0,20.1,-28.3
30,-42.7,7310.0,400.0,32.9,-31.7
31,-42.5,7542.7,387.0,39.9,-33.5
32,999.0,7619.0,9999.0,999.0,999.0
33,-51.5,8477.5,338.0,33.0,-41.5
34,-52.3,8784.2,323.0,36.3,-43.3
35,999.0,8839.0,9999.0,999.0,999.0
36,-59.5,8973.9,314.0,17.2,-44.5
37,999.0,9143.0,9999.0,999.0,999.0
38,-62.1,9280.0,300.0,16.3,-47.1
39,999.0,9753.0,9999.0,999.0,999.0
40,999.0,10363.0,9999.0,999.0,999.0
41,-69.9,10470.0,250.0,13.9,-54.9
42,-70.5,10943.5,232.0,19.9,-58.5
43,999.0,10972.0,9999.0,999.0,999.0
44,999.0,11582.0,9999.0,999.0,999.0
45,-84.3,11880.0,200.0,1.8,-56.3
46,999.0,12191.0,9999.0,999.0,999.0
47,999.0,12801.0,9999.0,999.0,999.0
48,-86.7,13720.0,150.0,0.8,-53.7
49,-86.9,13806.2,148.0,0.8,-53.9
50,999.0,14020.0,9999.0,999.0,999.0
