,dewpoint,height,pressure,relative humidity,temperature
0,999.0,167.0,1000.0,999.0,999.0
1,8.3,329.0,981.0,91.6,9.6
2,9.8,397.8,973.0,72.0,14.8
3,6.8,476.7,964.0,55.1,15.8
4,999.0,609.0,9999.0,999.0,999.0
5,3.6,773.3,931.0,44.6,15.6
6,-0.4,828.3,925.0,33.5,15.6
7,-3.8,856.0,922.0,25.1,16.2
8,999.0,914.0,9999.0,999.0,999.0
9,-10.2,1214.2,884.0,16.8,14.8
10,999.0,1219.0,9999.0,999.0,999.0
11,999.0,1523.0,9999.0,999.0,999.0
12,-3.6,1542.0,850.0,34.8,11.4
13,-1.0,1700.8,834.0,46.3,10.0
14,999.0,1828.0,9999.0,999.0,999.0
15,999.0,2133.0,9999.0,999.0,999.0
16,999.0,2438.0,9999.0,999.0,999.0
17,-6.4,2444.4,762.0,48.0,3.6
18,999.0,2743.0,9999.0,999.0,999.0
19,-30.2,2792.8,730.0,6.7,2.8
20,-21.4,3127.0,700.0,17.4,0.6
21,999.0,3657.0,9999.0,999.0,999.0
22,-16.3,3706.3,651.0,35.9,-3.3
23,-29.5,3915.8,634.0,11.3,-3.5
24,-21.7,4054.2,623.0,23.3,-3.7
25,-34.9,4092.4,620.0,6.9,-3.9
26,-35.1,4169.2,614.0,6.9,-4.1
27,999.0,4267.0,9999.0,999.0,999.0
28,999.0,4571.0,9999.0,999.0,999.0
29,999.0,4876.0,9999.0,999.0,999.0
30,999.0,5486.0,9999.0,999.0,999.0
31,-46.3,5750.0,500.0,5.2,-15.3
32,999.0,6095.0,9999.0,999.0,999.0
33,-53.1,6686.9,441.0,4.2,-22.1
34,-57.1,7150.6,414.0,2.8,-23.1
35,-55.7,7400.0,400.0,3.9,-24.7
36,999.0,7619.0,9999.0,999.0,999.0
37,-51.9,7621.6,388.0,6.2,-24.9
38,999.0,7924.0,9999.0,999.0,999.0
39,999.0,9143.0,9999.0,999.0,999.0
40,-58.1,9440.0,300.0,12.8,-40.1
41,999.0,10363.0,9999.0,999.0,999.0
42,-63.3,10650.0,250.0,17.9,-49.3
43,999.0,10667.0,9999.0,999.0,999.0
44,-67.7,11803.3,209.0,26.8,-57.7
45,-68.7,12080.0,200.0,26.4,-58.7
46,999.0,12496.0,9999.0,999.0,999.0
47,-70.5,12770.5,179.0,33.3,-62.5
48,999.0,13411.0,9999.0,999.0,999.0
49,-73.7,13695.6,154.0,24.4,-63.7
50,-71.3,13870.0,150.0,22.3,-60.3
51,-74.1,14482.1,136.0,12.7,-59.1
52,999.0,15239.0,9999.0,999.0,999.0
53,999.0,16154.0,9999.0,999.0,999.0
54,-81.5,16380.0,100.0,6.1,-62.5
55,999.0,16450.0,9999.0,999.0,999.0
56,-81.1,16735.7,94.4,6.2,-62.1
57,-82.1,18229.3,74.2,4.1,-60.1
58,999.0,18280.0,9999.0,999.0,999.0
59,-81.7,18590.0,70.0,5.4,-61.7
60,-83.3,18768.7,68.0,5.1,-63.3
61,999.0,19500.0,9999.0,999.0,999.0
62,-82.5,19644.3,59.0,4.6,-61.5
63,-80.1,19938.1,56.3,3.4,-56.1
64,-80.3,20690.0,50.0,3.8,-57.3
65,999.0,21330.0,9999.0,999.0,999.0
66,-77.7,21667.3,42.9,3.3,-52.7
67,-80.9,22531.6,37.5,2.6,-54.9
68,-77.5,23970.0,30.0,2.7,-50.5
69,-76.1,24283.3,28.6,2.5,-48.1
70,-76.9,25743.7,22.9,2.7,-49.9
71,-74.5,26630.0,20.0,2.7,-46.5
72,999.0,27430.0,9999.0,999.0,999.0
73,999.0,27730.0,9999.0,999.0,999.0
74,999.0,29260.0,9999.0,999.0,999.0
75,999.0,30170.0,9999.0,999.0,999.0
