,dewpoint,height,pressure,relative humidity,temperature
0,999.0,99.0,1000.0,999.0,999.0
1,15.7,350.0,971.0,82.2,18.8
2,10.6,767.2,925.0,63.5,17.6
3,999.0,914.0,9999.0,999.0,999.0
4,10.4,1107.0,889.0,67.6,16.4
5,999.0,1219.0,9999.0,999.0,999.0
6,9.4,1487.0,850.0,78.8,13.0
7,999.0,1828.0,9999.0,999.0,999.0
8,8.3,1962.8,803.0,96.7,8.8
9,999.0,2133.0,9999.0,999.0,999.0
10,999.0,2438.0,9999.0,999.0,999.0
11,4.4,2481.7,754.0,94.6,5.2
12,999.0,2743.0,9999.0,999.0,999.0
13,2.0,3088.0,700.0,97.2,2.4
14,999.0,3352.0,9999.0,999.0,999.0
15,0.2,3562.5,660.0,100.0,0.2
16,999.0,3657.0,9999.0,999.0,999.0
17,999.0,4267.0,9999.0,999.0,999.0
18,999.0,4876.0,9999.0,999.0,999.0
19,-13.9,5740.0,500.0,87.8,-12.3
20,999.0,5791.0,9999.0,999.0,999.0
21,999.0,6095.0,9999.0,999.0,999.0
22,-26.2,7400.0,400.0,79.8,-23.7
23,999.0,7619.0,9999.0,999.0,999.0
24,999.0,7924.0,9999.0,999.0,999.0
25,999.0,9143.0,9999.0,999.0,999.0
26,-43.5,9440.0,300.0,69.8,-40.1
27,-54.1,10650.0,250.0,67.0,-50.7
28,999.0,10667.0,9999.0,999.0,999.0
29,999.0,10972.0,9999.0,999.0,999.0
30,-66.5,12065.8,200.0,63.2,-63.1
31,999.0,12496.0,9999.0,999.0,999.0
32,999.0,12801.0,9999.0,999.0,999.0
33,999.0,13106.0,9999.0,999.0,999.0
34,-64.3,13182.2,167.0,56.2,-59.9
35,-60.0,13296.5,164.0,55.7,-55.3
36,-59.4,13870.0,150.0,54.5,-54.5
37,-58.7,13956.0,148.0,55.4,-53.9
38,999.0,14020.0,9999.0,999.0,999.0
39,999.0,15239.0,9999.0,999.0,999.0
40,-66.5,15772.9,111.0,54.0,-61.9
41,999.0,16154.0,9999.0,999.0,999.0
42,-66.5,16410.0,100.0,55.4,-62.1
43,999.0,16450.0,9999.0,999.0,999.0
44,999.0,17060.0,9999.0,999.0,999.0
45,-68.1,17416.8,84.9,57.8,-64.1
46,999.0,17980.0,9999.0,999.0,999.0
47,999.0,18280.0,9999.0,999.0,999.0
48,-63.9,18399.9,72.4,60.8,-60.1
49,-64.6,18610.0,70.0,59.8,-60.7
50,-67.4,19593.3,59.7,60.5,-63.7
51,-59.0,20539.6,51.3,64.8,-55.5
52,-58.9,20710.0,50.0,65.6,-55.5
53,-61.1,21048.6,47.4,64.9,-57.7
54,999.0,21330.0,9999.0,999.0,999.0
55,-57.6,22271.9,39.1,65.2,-54.1
56,-58.4,23223.2,33.7,66.5,-55.1
57,-54.6,23637.4,31.6,67.6,-51.3
58,-54.3,23970.0,30.0,66.9,-50.9
59,-54.8,24900.8,26.0,66.0,-51.3
60,-50.3,26270.1,21.1,68.0,-46.9
61,-51.0,26630.0,20.0,67.1,-47.5
62,999.0,26820.0,9999.0,999.0,999.0
63,999.0,27120.0,9999.0,999.0,999.0
64,999.0,27430.0,9999.0,999.0,999.0
65,999.0,29560.0,9999.0,999.0,999.0
